Rank,Mountain,Height (m),Height (ft),Range,Coordinates,Prominence (m),Parent mountain,First ascent,Ascents (Failed attempts) bef.2004
88,Baltistan Peak/K6,7283.00,23894.00,Hispar Karakoram,36¡13?35?N 75¡22?02?E? / ?36.22639¡N 75.36722¡E,620.00,Yukshin Gardan Sar,1980,1 (1)
89,Kangpenqing/,7282.00,23891.00,Masherbrum Karakoram,35¡25?06?N 76¡33?06?E? / ?35.41833¡N 76.55167¡E,1962.00,Chogolisa,1970,1 (3)
90,Gang Benchhen,7281.00,23888.00,Baiku Himalaya,28¡33?03?N 85¡32?44?E? / ?28.55083¡N 85.54556¡E,1340.00,Shisha Pangma,1982,1 (1)
91,Mana,7276.00,23871.00,Baltoro Karakoram,35¡49?40?N 76¡21?40?E? / ?35.82778¡N 76.36111¡E,1710.00,Skil Brum,1956,4 (2)
92,Dhaulagiri VI,7272.00,23858.00,Garhwal Himalaya,30¡52?50?N 79¡36?55?E? / ?30.88056¡N 79.61528¡E,730.00,Kamet,1937,7 (3)
,Diran,7268.00,23845.00,Dhaulagiri Himalaya,28¡42?31?N 83¡16?27?E? / ?28.70861¡N 83.27417¡E,485.00,Dhaulagiri IV,1970,5 (0)
93,Labuche Kang III/East,7266.00,23839.00,Rakaposhi-Haramosh Karakoram,36¡07?13?N 74¡39?42?E? / ?36.12028¡N 74.66167¡E,1325.00,Malubiting,1968,12 (8)
95,Apsarasas Kangri,7246.00,23773.00,Dhaulagiri Himalaya,28¡44?52?N 83¡08?46?E? / ?28.74778¡N 83.14611¡E,1151.00,Churen Himal,1954,11 (5)
96,Mukut Parbat,7245.00,23770.00,Siachen Karakoram,35¡32?19?N 77¡08?55?E? / ?35.53861¡N 77.14861¡E,635.00,Teram Kangri I,1976,2 (0)
97,Rimo III,7242.00,23760.00,Garhwal Himalaya,30¡56?57?N 79¡34?12?E? / ?30.94917¡N 79.57000¡E,840.00,Kamet,1951,2 (1)
98,Langtang Lirung,7233.00,23730.00,Rimo Karakoram,35¡22?31?N 77¡21?42?E? / ?35.37528¡N 77.36167¡E,615.00,Rimo I,1985,1 (0)
99,Karjiang,7227.00,23711.00,Langtang Himalaya,28¡15?22?N 85¡31?01?E? / ?28.25611¡N 85.51694¡E,1525.00,Shisha Pangma,1978,14 (13)
100,Annapurna Dakshin,7221.00,23691.00,Kula Kangri Himalaya,28¡15?27?N 90¡38?49?E? / ?28.25750¡N 90.64694¡E,880.00,Kula Kangri,unclimbed,0 (2)
101,Khartaphu,7219.00,23684.00,Annapurna Himalaya,28¡31?06?N 83¡48?22?E? / ?28.51833¡N 83.80611¡E,775.00,Annapurna,1964,10 (16)
102,Tongshanjiabu,7213.00,23665.00,Mahalangur Himalaya,28¡03?49?N 86¡58?39?E? / ?28.06361¡N 86.97750¡E,712.00,Mount Everest,1935,1 (0)
104,Noijin Kangsang/,7207.00,23645.00,Hispar Karakoram,36¡21?47?N 75¡08?57?E? / ?36.36306¡N 75.14917¡E,515.00,Distaghil Sar,1985,1 (0)
105,Norin Kang,7206.00,23642.00,Nagarze Himalaya,28¡56?48?N 90¡10?42?E? / ?28.94667¡N 90.17833¡E,2160.00,Tongshanjiabu,1986,4 (1)
106,Kangphu Kang,7205.00,23638.00,Langtang Himalaya,28¡22?53?N 85¡41?01?E? / ?28.38139¡N 85.68361¡E,650.00,Porong Ri,1981,4 (0)
107,Singhi Kangri,7204.00,23635.00,Lunana Himalaya,28¡09?20?N 90¡03?48?E? / ?28.15556¡N 90.06333¡E,1200.00,Tongshanjiabu,2002,1 (0)
108,Lupghar Sar,7202.00,23629.00,Siachen Karakoram,35¡35?59?N 76¡59?01?E? / ?35.59972¡N 76.98361¡E,790.00,Teram Kangri III,1976,2 (0)
